idiom;lemmatized
catch of the day;catch of the day
catch on;catch on
catch sight of;catch sight of
catch someone's eye;catch eye
catch the eye;catch the eye
cattle call;cattle call
caught on the hop;catch on the hop
caught stealing;catch steal
caught with one's pants down;catch with pant down
cause a stir;cause a stir
cave in;cave in
cease and desist;cease and desist
cease to be;cease to be
center field;center field
chain reaction;chain reaction
chance upon;chance upon
chances are;chance be
change hands;change hand
change of heart;change of heart
change of life;change of life
change of tack;change of tack
change one's mind;change mind
change one's tune;change tune
change over;change over
change someone's mind;change mind
change the channel;change the channel
character assassination;character assassination
charge down;charge down
charge up;charge up
charm offensive;charm offensive
charmed life;charm life
chase after;chase after
chase off;chase off
chat up;chat up
cheat on;cheat on
cheat sheet;cheat sheet
check and balance;check and balance
check through;check through
checks and balances;check and balance
cheer up;cheer up
cheese it;cheese it
cheesed off;cheese off
chemical imbalance;chemical imbalance
cherry on top;cherry on top
cherry-pick;cherry pick
chew on;chew on
chew up;chew up
chicken feed;chicken fee
chicken liver;chicken liver
chicken out;chicken out
child's play;child play
childhood friend;childhood friend
chill out;chill out
chime in;chime in
chin up;chin up
chip away;chip away
chip in;chip in
chip off the old block;chip off the old block
chip on one's shoulder;chip on shoulder
chip shot;chip shoot
choke off;choke off
choose up;choose up
chop down;chop down
chopped liver;chop liver
chow down;chow down
chuck in;chuck in
chuck out;chuck out
chump change;chump change
chump-change;chump change
circle the wagons;circle the wagon
cities and counties;city and county
city and county;city and county
city slicker;city slick
claim to fame;claim to fame
clam up;clam up
clamp down on;clamp down on
class clown;clas clown
class warfare;clas warfare
clean house;clean house
clean out;clean out
clean up;clean up
clean up one's act;clean up act
clear cut;clear cut
clear one's lines;clear line
clear out;clear out
clear the decks;clear the deck
climb down;climb down
clock in;clock in
clock is ticking;clock be tick
clog up;clog up
close in on;close in on
close of play;close of play
close one's eyes;close eye
close ranks;close rank
close to home;close to home
close to the wind;close to the wind
close up shop;close up shop
closed book;close book
closed form;close form
closing time;close time
cloud nine;cloud nine
clue in;clue in
coffee shop;coffee shop
cold comfort;cold comfort
cold hard cash;cold hard cash
cold reading;cold read
cold shoulder;cold shoulder
cold snap;cold snap
cold turkey;cold turkey
collect dust;collect dust
collect one's thoughts;collect thought
come a cropper;come a cropper
come a long way;come a long way
come across;come acros
come again;come again
come along;come along
come and go;come and go
come apart;come apart
come around;come around
come at;come at
come clean;come clean
come down;come down
come down to;come down to
come down to us;come down to u
come down with;come down with
come first;come first
come forward;come forward
come full circle;come full circle
come hell or high water;come hell or high water
come home to roost;come home to roost
come in;come in
come in from the cold;come in from the cold
come in handy;come in handy
come into;come into
come into being;come into be
come into one's own;come into own
come of age;come of age
come on;come on
come on over;come on over
come online;come online
come out;come out
come out of one's shell;come out of shell
come out of the closet;come out of the closet
come out of the woodwork;come out of the woodwork
come out swinging;come out swing
come thick and fast;come thick and fast
come through;come through
come to;come to
come to Jesus;come to jesu
come to a close;come to a close
come to a head;come to a head
come to an end;come to an end
come to blows;come to blow
come to grief;come to grief
come to grips with;come to grip with
come to life;come to life
come to light;come to light
come to mind;come to mind
come to nothing;come to nothing
come to one's senses;come to sense
come to someone's aid;come to aid
come to someone's rescue;come to rescue
come to terms;come to term
come to terms with;come to term with
come to the fore;come to the fore
come to the party;come to the party
come to think of it;come to think of it
come together;come together
come unstuck;come unstuck
come up;come up
come up with;come up with
come what may;come what may
come with the territory;come with the territory
come-to-Jesus;come to jesu
comedy of errors;comedy of error
comfort zone;comfort zone
comfortable in one's own skin;comfortable in own skin
comfortably off;comfortably off
coming out of one's ears;come out of ear
command performance;command performance
common cause;common cause
common ground;common grind
common name;common name
common touch;common touch
company man;company man
company town;company town
complete game;complete game
concrete jungle;concrete jungle
conjure up;conjure up
connect up;connect up
controlled substance;control substance
cook the books;cook the book
cook up;cook up
cookie-cutter;cookie cutter
cool head;cool head
cool one's heels;cool heel
cop on;cop on
cop out;cop out
cop-out;cop out
corner the market;corner the market
corporate ladder;corporate ladder
cost the earth;cost the earth
cotton on;cotton on
cotton to;cotton to
cotton-picking;cotton pick
cough up;cough up
could care less;could care le
count on;count on
count one's blessings;count bles
country mile;country mile
courage of one's convictions;courage of conviction
cover up;cover up
crack a smile;crack a smile
crack down;crack down
crack of dawn;crack of dawn
crack on;crack on
crack up;crack up
cradle-to-grave;cradle to grave
crank out;crank out
crank up;crank up
crap out;crap out
crash and burn;crash and burn
crash course;crash course
crawl with;crawl with
cream of the crop;cream of the crop
creature feature;creature feature
creep into;creep into
creme de la creme;creme de la creme
crony capitalism;crony capitalism
crop up;crop up
cross off;cros off
cross out;cros out
cross paths;cros path
cross someone's path;cros path
cross swords;cros sword
cross the line;cros the line
crowd-pleaser;crowd pleaser
crown jewels;crown jewel
crunch numbers;crunch number
cry for help;cry for help
cry foul;cry foul
cry wolf;cry wolf
crying shame;cry shame
crystal clear;crystal clear
crème de la crème;crme de la crme
cue up;cue up
culpable homicide;culpable homicide
cult film;cult film
cup of joe;cup of joe
cup of tea;cup of tea
curb appeal;curb appeal
curry favor;curry favor
curtain-raiser;curtain raiser
cut a swath;cut a swath
cut above;cut above
cut and dried;cut and dry
cut and thrust;cut and thrust
cut bait;cut bait
cut below;cut below
cut both ways;cut both way
cut corners;cut corner
cut down;cut down
cut from the same cloth;cut from the same cloth
cut in;cut in
